[2022-09-14 17:48:32,752][DEBUG|TYANT_2.14.py:130] >> 





[2022-09-14 17:48:32,758][DEBUG|TYANT_2.14.py:131] >> 2.14
[2022-09-14 17:48:32,762][DEBUG|TYANT_2.14.py:160] >> {'emergency_btn': '0', 'today_high_limit': '10', 'high_limit_used': '1', 'buy_stop': False}
[2022-09-14 17:48:32,765][DEBUG|TYANT_2.14.py:185] >> {'id': '5155238991', 'token': '5167183707:AAFMS0h7ReZ5WMvUnfArwI8koK0LLrTdHLE', 'auto_buy': 1, 'extra_buy': 1, 'emergency': 1, 'pumping': 1, 'sell': 1}
[2022-09-14 17:48:34,858][DEBUG|TYANT_2.14.py:5075] >> login init_process close...
[2022-09-14 17:49:09,348][DEBUG|TYANT_2.14.py:4899] >> socket start
[2022-09-14 17:49:09,357][DEBUG|TYANT_2.14.py:4908] >> login socket try..
[2022-09-14 17:49:09,358][DEBUG|TYANT_2.14.py:4918] >> host = 158.247.212.148, port = 5005
[2022-09-14 17:49:09,401][DEBUG|TYANT_2.14.py:4925] >> socket connect retrunr = None
[2022-09-14 17:49:09,402][DEBUG|TYANT_2.14.py:4930] >> 통신 상태 표시.. 
[2022-09-14 17:49:09,403][DEBUG|TYANT_2.14.py:4933] >> 수신 대기 중...
[2022-09-14 17:49:09,465][DEBUG|TYANT_2.14.py:4945] >> Received from ok_2pj7As5pKv3qE5fYaLm1FQmLpubx3ZoMLvOY7QfA_PxIfxT1GTtivMX3UMn4d0PAhWwCjdiYh7s86fvf3_21220410_5_215
[2022-09-14 17:49:09,468][DEBUG|TYANT_2.14.py:4949] >> 수신받은 데이터 = ok_2pj7As5pKv3qE5fYaLm1FQmLpubx3ZoMLvOY7QfA_PxIfxT1GTtivMX3UMn4d0PAhWwCjdiYh7s86fvf3_21220410_5_215
[2022-09-14 17:49:09,470][DEBUG|TYANT_2.14.py:4954] >> 로그인 성공 ok_2pj7As5pKv3qE5fYaLm1FQmLpubx3ZoMLvOY7QfA_PxIfxT1GTtivMX3UMn4d0PAhWwCjdiYh7s86fvf3_21220410_5_215
[2022-09-14 17:49:09,473][DEBUG|TYANT_2.14.py:4964] >> 프로그램 현재 버전 = 215
[2022-09-14 17:49:09,475][DEBUG|TYANT_2.14.py:5056] >> 통신 종료
[2022-09-14 17:49:14,345][DEBUG|TYANT_2.14.py:5170] >> user_name = marty74
[2022-09-14 17:49:14,350][DEBUG|TYANT_2.14.py:5180] >> version level = 5
[2022-09-14 17:49:14,667][DEBUG|TYANT_2.14.py:5186] >> [{'currency': 'KRW', 'balance': '25244371.93518736', 'locked': '0', 'avg_buy_price': '0', 'avg_buy_price_modified': True, 'unit_currency': 'KRW'}, {'currency': 'PUNDIX', 'balance': '14.16430594', 'locked': '0', 'avg_buy_price': '706', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}]
[2022-09-14 17:49:14,668][DEBUG|TYANT_2.14.py:5200] >> login start!
[2022-09-14 17:49:14,670][DEBUG|TYANT_2.14.py:4829] >> init_data_read start
[2022-09-14 17:49:14,832][DEBUG|TYANT_2.14.py:4679] >> 한글 name 불러들이기 성공, 총 = 113
