[2022-07-28 15:04:19,899][DEBUG|kw_main.py:44] >> window start
[2022-07-28 15:07:23,584][DEBUG|kw_main.py:46] >> window start
[2022-07-28 15:07:31,573][DEBUG|kw_main.py:46] >> window start
[2022-07-28 15:07:42,057][DEBUG|kw_main.py:77] >> 'MyWindow' object has no attribute 'view_selec_coin_lbl'
[2022-07-28 15:07:42,057][DEBUG|kw_main.py:78] >> Traceback (most recent call last):
  File "C:/Users/kdonn/PycharmProjects/pythonProject/testdH/kw_main.py", line 74, in cell_cliked_func
    self.view_selec_coin_lbl.setText(select_code)
AttributeError: 'MyWindow' object has no attribute 'view_selec_coin_lbl'

[2022-07-28 15:39:34,498][DEBUG|kw_main.py:46] >> window start
[2022-07-28 15:44:45,969][DEBUG|kw_main.py:19] >> window start
[2022-07-28 15:47:38,094][DEBUG|kw_main.py:19] >> window start
[2022-07-28 15:47:45,157][DEBUG|kw_main.py:19] >> window start
[2022-07-28 15:48:58,966][DEBUG|kw_main.py:19] >> window start
[2022-07-28 15:52:52,606][DEBUG|kw_main.py:19] >> window start
[2022-07-28 15:56:23,153][DEBUG|kw_main.py:19] >> window start
[2022-07-28 15:57:10,076][DEBUG|kw_main.py:19] >> window start
[2022-07-28 15:59:43,845][DEBUG|kw_main.py:19] >> window start
[2022-07-28 18:49:39,054][DEBUG|kw_main.py:19] >> window start
[2022-07-28 18:52:16,101][DEBUG|kw_main.py:15] >> window start
[2022-07-28 19:17:48,757][DEBUG|kw_main.py:15] >> window start
[2022-07-28 19:37:53,740][DEBUG|kw_main.py:15] >> window start
[2022-07-28 19:39:20,841][DEBUG|kw_main.py:15] >> window start
[2022-07-28 19:39:38,771][DEBUG|kw_main.py:15] >> window start
[2022-07-28 20:02:45,305][DEBUG|kw_main.py:15] >> window start
[2022-07-28 20:18:16,361][DEBUG|kw_main.py:15] >> window start
[2022-07-28 20:18:52,722][DEBUG|kw_main.py:15] >> window start
[2022-07-28 20:19:59,042][DEBUG|kw_main.py:15] >> window start
[2022-07-28 20:22:02,757][DEBUG|kw_main.py:15] >> window start
[2022-07-28 20:22:40,772][DEBUG|kw_main.py:15] >> window start
[2022-07-28 20:35:22,027][DEBUG|kw_main.py:15] >> window start
[2022-07-28 20:50:11,750][DEBUG|kw_main.py:15] >> window start
